server_id,cpu_usage,hours_running,cost_per_hour,region,instance_type
srv-001,4.2,720,0.85,us-east-1,t3.large
srv-002,78.5,720,1.20,us-east-1,m5.xlarge
srv-003,2.1,168,2.40,eu-west-1,c5.2xlarge
srv-004,91.3,720,1.20,us-west-2,m5.xlarge
srv-005,6.8,500,0.85,us-east-1,t3.large
srv-006,55.2,720,0.42,ap-south-1,t3.small
srv-007,1.5,720,3.80,us-east-1,r5.2xlarge
srv-008,88.0,720,1.20,eu-central-1,m5.xlarge
srv-009,8.9,600,0.85,us-east-1,t3.large
srv-010,12.3,720,0.42,us-west-1,t3.small
srv-011,3.3,720,2.40,us-east-2,c5.2xlarge
srv-012,66.7,720,1.90,ap-southeast-1,m5.2xlarge
srv-013,5.5,300,0.85,us-east-1,t3.large
srv-014,0.8,720,3.80,eu-west-2,r5.2xlarge
srv-015,44.2,720,0.42,us-east-1,t3.small
srv-016,7.1,480,1.20,us-east-1,m5.xlarge
srv-017,95.4,720,1.90,us-west-2,m5.2xlarge
srv-018,9.9,720,0.85,us-east-1,t3.large
srv-019,2.5,720,2.40,ap-northeast-1,c5.2xlarge
srv-020,73.1,720,1.20,us-east-1,m5.xlarge